timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-08-23,11910.99000000,12468.00000000,11376.81000000,11623.94000000,11910.99000000,12468.00000000,11376.81000000,11623.94000000,390253.68588100,390253.68588100
2020-08-16,11681.69000000,12067.35000000,11125.00000000,11911.00000000,11681.69000000,12067.35000000,11125.00000000,11911.00000000,468167.72232000,468167.72232000
2020-08-09,11071.36000000,11909.94000000,10936.00000000,11681.68000000,11071.36000000,11909.94000000,10936.00000000,11681.68000000,403167.45146000,403167.45146000
2020-08-02,9931.54000000,12123.46000000,9917.21000000,11071.35000000,9931.54000000,12123.46000000,9917.21000000,11071.35000000,637793.81172400,637793.81172400
2020-07-26,9208.99000000,10111.00000000,9131.00000000,9931.54000000,9208.99000000,10111.00000000,9131.00000000,9931.54000000,346433.53511500,346433.53511500
2020-07-19,9303.31000000,9343.82000000,9047.25000000,9208.99000000,9303.31000000,9343.82000000,9047.25000000,9208.99000000,247602.69209500,247602.69209500
2020-07-12,9069.41000000,9470.00000000,9055.92000000,9302.75000000,9069.41000000,9470.00000000,9055.92000000,9302.75000000,284964.99967300,284964.99967300
2020-07-05,9116.16000000,9292.00000000,8893.03000000,9069.41000000,9116.16000000,9292.00000000,8893.03000000,9069.41000000,247256.19512500,247256.19512500
2020-06-28,9294.69000000,9780.00000000,8833.00000000,9116.35000000,9294.69000000,9780.00000000,8833.00000000,9116.35000000,343601.08315400,343601.08315400
2020-06-21,9342.10000000,9589.00000000,8910.45000000,9294.69000000,9342.10000000,9589.00000000,8910.45000000,9294.69000000,323565.71184200,323565.71184200
2020-06-14,9746.99000000,9992.72000000,9113.00000000,9342.10000000,9746.99000000,9992.72000000,9113.00000000,9342.10000000,336172.77151700,336172.77151700
2020-06-07,9448.27000000,10380.00000000,9266.00000000,9746.99000000,9448.27000000,10380.00000000,9266.00000000,9746.99000000,427822.49534700,427822.49534700
2020-05-31,8718.14000000,9740.00000000,8642.72000000,9448.27000000,8718.14000000,9740.00000000,8642.72000000,9448.27000000,425528.24616700,425528.24616700
2020-05-24,9681.11000000,9950.00000000,8700.00000000,8720.34000000,9681.11000000,9950.00000000,8700.00000000,8720.34000000,517248.17753600,517248.17753600
2020-05-17,8722.77000000,9939.00000000,8200.00000000,9680.04000000,8722.77000000,9939.00000000,8200.00000000,9680.04000000,721487.83708700,721487.83708700
2020-05-10,8894.15000000,10067.00000000,8117.00000000,8722.77000000,8894.15000000,10067.00000000,8117.00000000,8722.77000000,780478.84946600,780478.84946600
2020-05-03,7693.10000000,9460.00000000,7606.00000000,8894.16000000,7693.10000000,9460.00000000,7606.00000000,8894.16000000,742165.16210400,742165.16210400
2020-04-26,7121.40000000,7738.00000000,6751.00000000,7693.10000000,7121.40000000,7738.00000000,6751.00000000,7693.10000000,469098.31294700,469098.31294700
2020-04-19,6903.79000000,7293.08000000,6468.27000000,7120.74000000,6903.79000000,7293.08000000,6468.27000000,7120.74000000,501345.25890300,501345.25890300
2020-04-12,6772.78000000,7459.69000000,6739.98000000,6903.79000000,6772.78000000,7459.69000000,6739.98000000,6903.79000000,582804.77108700,582804.77108700
2020-04-05,5880.50000000,7198.00000000,5857.76000000,6772.78000000,5880.50000000,7198.00000000,5857.76000000,6772.78000000,664784.29958300,664784.29958300
2020-03-29,5816.05000000,6957.96000000,5688.00000000,5881.42000000,5816.05000000,6957.96000000,5688.00000000,5881.42000000,770380.80536000,770380.80536000
2020-03-22,5360.33000000,6900.00000000,4442.12000000,5816.19000000,5360.33000000,6900.00000000,4442.12000000,5816.19000000,1180843.34582000,1180843.34582000
2020-03-15,8034.76000000,8179.31000000,3782.13000000,5361.30000000,8034.76000000,8179.31000000,3782.13000000,5361.30000000,1224228.28324000,1224228.28324000
2020-03-08,8530.30000000,9188.00000000,8000.00000000,8033.31000000,8530.30000000,9188.00000000,8000.00000000,8033.31000000,379197.13168000,379197.13168000
2020-03-01,9936.40000000,9990.00000000,8411.00000000,8531.88000000,9936.40000000,9990.00000000,8411.00000000,8531.88000000,426585.45870700,426585.45870700
2020-02-23,9910.70000000,10250.00000000,9350.00000000,9936.40000000,9910.70000000,10250.00000000,9350.00000000,9936.40000000,360700.46771900,360700.46771900
2020-02-16,10151.72000000,10500.00000000,9638.12000000,9917.27000000,10151.72000000,10500.00000000,9638.12000000,9917.27000000,427067.58518900,427067.58518900
2020-02-09,9331.59000000,10166.00000000,9093.01000000,10151.75000000,9331.59000000,10166.00000000,9093.01000000,10151.75000000,364995.86483400,364995.86483400
2020-02-02,8614.39000000,9578.00000000,8535.00000000,9331.51000000,8614.39000000,9578.00000000,8535.00000000,9331.51000000,362870.20838800,362870.20838800
2020-01-26,8701.72000000,8818.00000000,8238.00000000,8615.00000000,8701.72000000,8818.00000000,8238.00000000,8615.00000000,250977.00176500,250977.00176500
2020-01-19,8184.97000000,9198.98000000,8055.89000000,8701.70000000,8184.97000000,9198.98000000,8055.89000000,8701.70000000,468235.62749600,468235.62749600
2020-01-12,7357.64000000,8455.00000000,7346.76000000,8184.98000000,7357.64000000,8455.00000000,7346.76000000,8184.98000000,498017.84689800,498017.84689800
2020-01-05,7388.43000000,7495.00000000,6871.04000000,7358.75000000,7388.43000000,7495.00000000,6871.04000000,7358.75000000,241051.79844400,241051.79844400
2019-12-29,7500.71000000,7695.38000000,7076.42000000,7388.24000000,7500.71000000,7695.38000000,7076.42000000,7388.24000000,267312.08693500,267312.08693500
2019-12-22,7119.60000000,7518.54000000,6435.00000000,7501.44000000,7119.60000000,7518.54000000,6435.00000000,7501.44000000,339611.46169700,339611.46169700
2019-12-15,7510.11000000,7650.00000000,7008.35000000,7118.59000000,7510.11000000,7650.00000000,7008.35000000,7118.59000000,252294.98040800,252294.98040800
2019-12-08,7391.50000000,7750.00000000,7067.00000000,7510.11000000,7391.50000000,7750.00000000,7067.00000000,7510.11000000,331478.23127200,331478.23127200
